dataset,method,canonical_method,graph_seed,training_seed,export_hash,success,status,failure_type,failure_message,structural_storage_ratio,raw_hgb_text_byte_ratio,support_edge_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,3,ecd128298fa3b76b75eeaf70b7864d20b07b722105c5367d2f5a50a7026d7f0c,True,success,,,0.0866334956754763,0.5289873295598869,0.051505639364517505,0.880986,0.8755809999999999,0.8641979999999999,0.8542839999999999
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,4,ecd128298fa3b76b75eeaf70b7864d20b07b722105c5367d2f5a50a7026d7f0c,True,success,,,0.0866334956754763,0.5289873295598869,0.051505639364517505,0.870775,0.865261,0.8930039999999999,0.89077
DBLP,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,H6-dirskel-AP50-PA00-PV100-VP00-PTTP00,1,5,ecd128298fa3b76b75eeaf70b7864d20b07b722105c5367d2f5a50a7026d7f0c,True,success,,,0.0866334956754763,0.5289873295598869,0.051505639364517505,0.870423,0.864989,0.868313,0.862811
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,1,c4fd47c264a9e819aa29fde6666669a453a36de83eedcb502857fa21cd298ce1,True,success,,,0.10307722417517896,0.5295038248512903,0.06974278486930532,0.901761,0.8965099999999999,0.897119,0.893817
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,2,c4fd47c264a9e819aa29fde6666669a453a36de83eedcb502857fa21cd298ce1,True,success,,,0.10307722417517896,0.5295038248512903,0.06974278486930532,0.9112680000000001,0.906805,0.9012350000000001,0.8979309999999999
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,3,c4fd47c264a9e819aa29fde6666669a453a36de83eedcb502857fa21cd298ce1,True,success,,,0.10307722417517896,0.5295038248512903,0.06974278486930532,0.9091549999999999,0.903312,0.909465,0.903139
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,4,c4fd47c264a9e819aa29fde6666669a453a36de83eedcb502857fa21cd298ce1,True,success,,,0.10307722417517896,0.5295038248512903,0.06974278486930532,0.9021129999999999,0.897274,0.9135800000000001,0.9117770000000001
DBLP,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,H6-dirskel-AP75-PA00-PV100-VP00-PTTP00,1,5,c4fd47c264a9e819aa29fde6666669a453a36de83eedcb502857fa21cd298ce1,True,success,,,0.10307722417517896,0.5295038248512903,0.06974278486930532,0.908451,0.9024070000000001,0.90535,0.897223
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,1,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,True,success,,,0.11612983356793906,0.5299044736341588,0.08421896262407855,0.9285209999999999,0.9234749999999999,0.909465,0.907517
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,2,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,True,success,,,0.11612983356793906,0.5299044736341588,0.08421896262407855,0.9359149999999999,0.930566,0.946502,0.944232
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,3,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,True,success,,,0.11612983356793906,0.5299044736341588,0.08421896262407855,0.93169,0.926916,0.9300409999999999,0.925364
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,4,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,True,success,,,0.11612983356793906,0.5299044736341588,0.08421896262407855,0.9267610000000001,0.921641,0.934156,0.9324460000000001
DBLP,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,H6-dirskel-AP100-PA00-PV75-VP00-PTTP00,1,5,ce6215747a238466a7e1552f6081a81422e1fe5359053cd49adb8a7e02e1bbda,True,success,,,0.11612983356793906,0.5299044736341588,0.08421896262407855,0.9323940000000001,0.927138,0.942387,0.938364
DBLP,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,1,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,True,success,,,0.19881894209127793,0.5325500660990953,0.1759264670278754,0.9507040000000001,0.946857,0.934156,0.93161
DBLP,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,2,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,True,success,,,0.19881894209127793,0.5325500660990953,0.1759264670278754,0.9492959999999999,0.945886,0.962963,0.960235
DBLP,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,3,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,True,success,,,0.19881894209127793,0.5325500660990953,0.1759264670278754,0.948592,0.945121,0.942387,0.938376
DBLP,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,4,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,True,success,,,0.19881894209127793,0.5325500660990953,0.1759264670278754,0.9422539999999999,0.938052,0.942387,0.941682
DBLP,H6-APV-skeleton,H6-relgrid-APPA100-PVVP100-PTTP00,1,5,96e362caa41c08761676ba60a29c170e649218a7680a4c29e74d5e79297f77ad,True,success,,,0.19881894209127793,0.5325500660990953,0.1759264670278754,0.95,0.9465389999999999,0.946502,0.942473
DBLP,full-native-SeHGNN,full-native-SeHGNN,,1,,True,success,,,,,,0.953873,0.949979,0.938272,0.935759
DBLP,full-native-SeHGNN,full-native-SeHGNN,,2,,True,success,,,,,,0.954577,0.951351,0.9547329999999999,0.950907
DBLP,full-native-SeHGNN,full-native-SeHGNN,,3,,True,success,,,,,,0.9517610000000001,0.9483889999999999,0.942387,0.9374809999999999
DBLP,full-native-SeHGNN,full-native-SeHGNN,,4,,True,success,,,,,,0.952817,0.94896,0.946502,0.945612
DBLP,full-native-SeHGNN,full-native-SeHGNN,,5,,True,success,,,,,,0.953873,0.95042,0.950617,0.947224
DBLP,export-full-SeHGNN,export-full-SeHGNN,,1,,True,success,,,,,,0.953873,0.949979,0.938272,0.935759
DBLP,export-full-SeHGNN,export-full-SeHGNN,,2,,True,success,,,,,,0.954577,0.951351,0.9547329999999999,0.950907
