dataset,method,method_family,requested_budget_type,requested_budget,actual_structural_storage_ratio,support_node_ratio,support_edge_ratio,raw_hgb_text_byte_ratio,graph_seed_count,training_seed_count,test_micro_f1_mean,test_micro_f1_std,test_macro_f1_mean,test_macro_f1_std,validation_micro_f1_mean,validation_macro_f1_mean,validation_proxy_score,recovery_vs_native_full_micro,recovery_vs_native_full_macro,schema_compatible,target_preserving,official_hgb_exported,official_sehgnn_unmodified,training_executed,eligible_for_main_table,success,failure_type,failure_reason,selected_edge_hash,planner_config_hash,source_path,repo_url
ACM,GraphSparsify-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,57c1844a48a258fddc018d11143672461d8ebdfe404e22c4d37baa5d52b536ba,79df15cdce3522ef38843b0c31245f0268965027c3cf29855752f2a0ae6f573c,local:external_tp_baseline_impl,
ACM,Coarsening-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,2e55f88c3b966d753fec0afc2abaa7627030856fe54bdd785d3a9a755dbf805f,4e631ad797318bdf4b155e7c6a9f29d9a97c7d6e6f9666990077033be0511f27,local:external_tp_baseline_impl,
ACM,FreeHGC-score-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,1ce9d5150258a6a88a377b5c9738295f1ada535193cc3ef7278b9d39c2fcb862,78028d36b9d48f6f3c37d7c84ec8fcf1011a377be44e5b5d47886f560a213cec,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
IMDB,Random-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Random-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,ac414bab60cc1f0560aeb51f971b8dba5f3ae7575c5f19219c54f751ee465e22,d3ced7391a8931c103e63c58112efe0252b88e32b593bdaebdff9cbf4686320b,local:external_tp_baseline_impl,
IMDB,Herding-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Herding-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,9cbf261120de9b81cbdf7f86e40da08ad683190e1641c8b0ffbab89321d957f6,4f9bcfddb4ef100cff6a10388f5ee7c9b9d87f6ea880b5df5a1167f095461651,local:external_tp_baseline_impl,
IMDB,KCenter-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,KCenter-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,09117868514bb76b3545d681d1b89d9bf1215f8865b5796b7d7b6931c9aadffe,2a98b911a81fb337d3d3b8cd5a626212329e13931b05954f3479bb487042f467,local:external_tp_baseline_impl,
IMDB,GraphSparsify-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,GraphSparsify-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,6765f8dda64bf8bdbdaeeb7abceab812e9d2ef1106dc2fed12e97a406dc98f59,e4ad320417041aa4dfcb9dbf2f90708dac5a9590da8ad15756a3f802d9b9f95b,local:external_tp_baseline_impl,
IMDB,Coarsening-HG-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,Coarsening-HG-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,08ad27f28bd463148d2c793032229bc3ec4e8594ee8e65f1dba89a59ff681e94,ef2b3050ae446f767cbc082dbbf7cb814a160b9b520890011e1e002f395e3360,local:external_tp_baseline_impl,
IMDB,FreeHGC-score-TP,external_tp_baseline,support_node_ratio,0.5,,0.5,induced_schema_preserving,,1,1,,,,,,,,,,True,True,True,True,False,True,False,implemented_pending_official_training,FreeHGC-score-TP local target-preserving implementation/proxy was added; official SeHGNN task training is pending.,ade6c79e83b998d7706f890690fe7d93b0ddab4a05ee7a4c3a52e4377ac0e5db,7373e8155fa841c78f8b5fa0176a615aefc0d1c09ec22b00f9d7f7431f7967fd,local:external_tp_baseline_impl,https://github.com/GooLiang/FreeHGC
DBLP,HeSF-RCS-Rep,schema_preserving_rcs,structural_storage_ratio,0.12,0.11951718894668302,0.30003171582619725,0.08797575615905429,0.5300203883188904,1,5,0.9447888000000001,0.003112726804587885,0.9405382,0.0032060959686197876,,,0.953770196,0.9909888540742896,,True,True,True,True,True,True,True,,,240529d8a23de77b2e84e2982b97536b1afd41eb1648bc112ccbca988d736476,e1573e8488ad75bf47007b991bb6325033ffcdda25001aa4e662dbadf0b58630,D:\HeSF-Coarsen\outputs\gate21_14_full_execution_push\gate21_14_budgeted_selector_by_method.csv,
