"dataset","method","base_graph_method","canonical_base_graph_method","graph_seed","training_seed","relation_channel_spec","term_channel_spec","feature_transform_name","feature_transform_family","node_types_modified","feature_dim_by_type_after_loader","semantic_structural_storage_ratio","hgb_raw_file_byte_ratio","effective_total_byte_ratio","support_edge_ratio","test_micro_f1","test_macro_f1","validation_micro_f1","validation_macro_f1","official_sehgnn_unmodified","eligible_for_main_decision","eligible_for_adapter_table","cache_hygiene_pass","feature_loader_audit_pass","fit_uses_labels","fit_uses_test_labels","success","status","failed_reason"
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","type-constant-support-features","type_constant","","","0.7765286382078632","2.399574015427395","2.399574015427395","0.8166434302029504","0.9394370000000001","0.9354210000000001","0.921811","0.916772","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","all-type-constant-features","type_constant","","","0.19881894209127793","2.5451931372567733","2.5451931372567733","0.1759264670278754","0.9447180000000001","0.9405169999999999","0.9135800000000001","0.910085","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","all-type-constant-features","type_constant","","","0.3721235707242166","2.5507772601537915","2.5507772601537915","0.3681323727073124","0.947887","0.94377","0.9135800000000001","0.909516","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","all-type-constant-features","type_constant","","","0.7765286382078632","2.563807443331718","2.563807443331718","0.8166434302029504","0.946127","0.941957","0.909465","0.905223","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","pca-all-types-128","pca","","","0.19881894209127793","0.19206620872260805","0.19206620872260805","0.1759264670278754","0.946127","0.9417659999999999","0.925926","0.922946","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","pca-all-types-128","pca","","","0.3721235707242166","0.19765033161962614","0.19765033161962614","0.3681323727073124","0.946831","0.9427930000000001","0.9300409999999999","0.926369","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","pca-all-types-128","pca","","","0.7765286382078632","0.2106805147975526","0.2106805147975526","0.8166434302029504","0.9482389999999999","0.944283","0.9300409999999999","0.926369","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","pca-paper-128","pca","","","0.19881894209127793","0.14526115134567238","0.14526115134567238","0.1759264670278754","0.948944","0.944863","0.925926","0.923913","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","pca-paper-128","pca","","","0.3721235707242166","0.15084527424269048","0.15084527424269048","0.3681323727073124","0.9482389999999999","0.944005","0.934156","0.932642","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","pca-paper-128","pca","","","0.7765286382078632","0.16387545742061693","0.16387545742061693","0.8166434302029504","0.948944","0.9447249999999999","0.934156","0.932642","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","pca-paper-64","pca","","","0.19881894209127793","0.1088525852156251","0.1088525852156251","0.1759264670278754","0.946127","0.941912","0.934156","0.930558","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","pca-paper-64","pca","","","0.3721235707242166","0.1144367081126432","0.1144367081126432","0.3681323727073124","0.945775","0.941237","0.934156","0.93077","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP100","PTTP100","pca-paper-64","pca","","","0.7765286382078632","0.12746689129056965","0.12746689129056965","0.8166434302029504","0.946127","0.9418529999999999","0.934156","0.9314960000000001","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP00","PTTP00","random-projection-paper-128","random_projection","","","0.19881894209127793","0.14403968387939892","0.14403968387939892","0.1759264670278754","0.946831","0.9424819999999999","0.934156","0.931404","False","False","True","True","","False","False","True","success",""
"DBLP","feature_channel_ablation","H6-APV-skeleton","H6-relgrid-APPA100-PVVP100-PTTP00","1","1","PTTP30","PTTP30","random-projection-paper-128","random_projection","","","0.3721235707242166","0.149623806776417","0.149623806776417","0.3681323727073124","0.9492959999999999","0.944962","0.942387","0.940333","False","False","True","True","","False","False","True","success",""
