dataset,method,graph_seed,training_seed,relation_channel_spec,AP_retention,PA_retention,PT_retention,TP_retention,PV_retention,VP_retention,AP_edge_count,PA_edge_count,PT_edge_count,TP_edge_count,PV_edge_count,VP_edge_count,semantic_structural_storage_ratio,hgb_raw_file_byte_ratio,support_edge_ratio,test_micro_f1,test_macro_f1,validation_micro_f1,validation_macro_f1,recovery_vs_native_full_micro,recovery_vs_native_full_macro
DBLP,H6-dir-AP50-PA100-PTTP30-PVVP100,3,3,AP50-PA100-PTTP30-PVVP100,0.5,1.0,0.3,0.3,1.0,1.0,8737,17474,23024,23024,3598,3598,0.3392398774530099,0.5371010014598493,0.3316622559127756,0.873592,0.8691490000000001,0.835391,0.824777,0.9178690868821059,0.9164477867204281
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,1,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.946831,0.942539,0.938272,0.935461,0.9926174658471306,0.992168247929691
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,2,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.9492959999999999,0.9459730000000001,0.962963,0.960235,0.9944677066386471,0.9943469865486031
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,1,3,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.947535,0.943962,0.942387,0.938376,0.9955598096580969,0.9953320841975182
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,1,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.946831,0.942539,0.938272,0.935461,0.9926174658471306,0.992168247929691
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,2,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.9492959999999999,0.9459730000000001,0.962963,0.960235,0.9944677066386471,0.9943469865486031
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,2,3,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.947887,0.944285,0.942387,0.938376,0.9959296504059317,0.9956726617453387
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,1,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.946831,0.942539,0.938272,0.935461,0.9926174658471306,0.992168247929691
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,2,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.9492959999999999,0.9459730000000001,0.962963,0.960235,0.9944677066386471,0.9943469865486031
DBLP,H6-dir-APPA100-PT100-TP00-PVVP100,3,3,APPA100-PT100-TP00-PVVP100,1.0,1.0,1.0,0.0,1.0,1.0,17474,17474,76748,1,3598,3598,0.4876737901495706,0.5418570259706768,0.4962849486154129,0.947887,0.944285,0.942387,0.938376,0.9959296504059317,0.9956726617453387
DBLP,H6-dir-APPA100-PT00-TP100-PVVP100,1,1,APPA100-PT00-TP100-PVVP100,1.0,1.0,0.0,1.0,1.0,1.0,17474,17474,1,76748,3598,3598,0.4876737901495706,0.5418570335458097,0.4962849486154129,0.9507040000000001,0.946857,0.934156,0.93161,0.9966777547954498,0.996713611564045
